,0,1,2,3,4,5,6,7
57,1612933200.0,955380.034,46181.81,46249.9975,45838.59,46017.19,1.0001971555467402,1.0
58,1612934100.0,1155292.003,46190.915,46269.2275,46081.455,46181.815,1.0028367050100653,1.0
59,1612935000.0,1032980.428,46321.945,46413.8875,46048.53,46190.355,0.9958991898980064,0.0
60,1612935900.0,1248969.444,46131.9875,46354.415,46046.84,46321.5275,1.0070126503871093,1.0
61,1612936800.0,966586.1474,46455.495,46460.35,46113.085,46131.9875,1.0007932323183726,1.0
62,1612937700.0,964340.8831,46492.345,46537.695,46390.87,46456.31,1.0001047484268646,1.0
63,1612938600.0,1047314.501,46497.215,46628.56875,46425.365,46492.565,1.0002194755105225,1.0
64,1612939500.0,787490.7689,46507.42,46573.26,46441.985,46497.215,1.0000633232288525,1.0
65,1612940400.0,1085897.8490000002,46510.365,46619.995,46406.885,46507.42,1.0011767269510785,1.0
66,1612941300.0,1571316.5990000004,46565.095,46772.6125,46467.9,46510.365,1.0074203323326196,1.0
67,1612942200.0,1360147.4030000002,46910.62348,46911.34,46530.155,46564.555,0.992493443832608,0.0
68,1612943100.0,1192602.459,46558.48625,46913.73,46530.61125,46910.62348,0.9992540296560865,0.0
69,1612944000.0,1460954.003,46523.755,46800.0,46521.525,46558.48625,0.9976981651631516,0.0
70,1612944900.0,1209545.667,46416.665,46549.39,46258.28,46523.755,0.9999403231576416,0.0
71,1612945800.0,1179805.126,46413.895,46496.215,46321.11125,46416.665,1.0052041527650288,1.0
72,1612946700.0,1091861.635,46655.44,46678.5475,46376.8575,46413.895,1.0011919296013498,1.0
73,1612947600.0,1009214.756,46711.05,46779.18,46606.01,46651.13,1.0024497415493765,1.0
74,1612948500.0,1304049.719,46825.48,46886.79,46663.9525,46714.23,0.9972702895944686,0.0
75,1612949400.0,1003481.544,46697.66,46880.5575,46669.99,46825.79,0.9968681514234332,0.0
76,1612950300.0,1040255.573,46551.41,46716.58,46469.36,46699.43,1.0127113228149265,1.0
